trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.67780808845784,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99501247919268232}",25,0,-103.66010221078518,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.99004983374916811}",30,0,-218.29832583302542,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.98511193960306265}",25,0,-271.4252031264515,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 6}",0
5,False,"{'a': 0.5, 'e': 0.98019867330675525}",20,0,-139.0417540252313,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97530991202833262}",20,0,-118.49650409702376,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.97044553354850815}",20,0,-85.89178091925231,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96560541625756646}",20,0,-104.75235931853237,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.96078943915232318}",20,0,-80.64229244590008,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.95599748183309996}",20,0,-79.65115504823625,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.95122942450071402}",25,0,-196.92343731245006,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.94648514795348382}",25,7,-86.14652691682168,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.94176453358424872}",30,0,-34.83568645096469,"{0: 24, 1: 3, 2: 1, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.93706746337740343}",25,0,-88.67596542518041,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.93239381990594827}",30,0,-89.54603421234171,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.92774348632855286}",20,0,-49.67885768029253,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.92311634638663576}",25,0,-80.15661957261511,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.91851228440145738}",30,0,-167.010156366734,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.91393118527122819}",20,0,-127.83405526198192,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.90937293446823142}",25,0,-253.14287166530275,"{0: 12, 1: 0, 2: 7, 3: 2, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.90483741803595952}",30,0,-190.51431175419492,"{0: 19, 1: 0, 2: 6, 3: 2, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.90032452258626561}",20,0,-22.120147756378344,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.89583413529652822}",30,2,-81.16129138674964,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.89136614390683133}",25,0,-187.21260061639703,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.88692043671715748}",35,0,-209.52465256794548,"{0: 21, 1: 3, 2: 6, 3: 2, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.88249690258459546}",25,0,-165.72957681513404,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-146.69560455369842,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.87371591168803442}",25,0,-14.709824345530773,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
