trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9984166667}",20,0,-56.67780808845784,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9968333333999999}",25,0,-103.66010221078518,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9952500000999999}",30,0,-218.29832583302542,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9936666667999998}",25,0,-271.4252031264515,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 6}",0
5,False,"{'a': 0.5, 'e': 0.9920833334999998}",20,0,-139.0417540252313,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9905000001999997}",20,0,-118.49650409702376,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9889166668999997}",20,0,-85.89178091925231,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9873333335999996}",20,0,-104.75235931853237,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9857500002999996}",20,0,-92.596454940942,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9841666669999996}",20,0,-79.65115504823625,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9825833336999995}",25,0,-78.62212189501264,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9810000003999995}",25,0,-137.13814597837808,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9794166670999994}",20,0,-93.11536285730025,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9778333337999994}",20,0,-171.96133061770988,"{0: 8, 1: 2, 2: 5, 3: 4, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9762500004999993}",25,0,-181.4651201670655,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9746666671999993}",20,0,-123.16212318644406,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9730833338999992}",25,0,-97.05746886018014,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9715000005999992}",20,0,-188.45871930289218,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.9699166672999991}",20,14,-4.290084403797948,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.9683333339999991}",20,0,-133.3658664807066,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9667500006999991}",25,0,-105.56131182725704,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.965166667399999}",20,0,-19.455468929030808,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.963583334099999}",30,0,-43.8198612716935,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9620000007999989}",25,0,-87.51851377188675,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9604166674999989}",35,0,-119.79470081454888,"{0: 20, 1: 4, 2: 10, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9588333341999988}",20,0,-116.32869904400641,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9572500008999988}",20,0,-93.94918172659843,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9556666675999987}",20,0,-114.24056916864893,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9540833342999987}",30,0,-87.53903054430545,"{0: 21, 1: 2, 2: 4, 3: 3, 4: 0}",0
