trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-169.3230707207365,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-203.41768486624107,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-174.0655090778264,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-123.10163203152227,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-62.476979978622786,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-106.00194668814432,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-193.99723186983553,"{0: 20, 1: 1, 2: 5, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-126.81936237709041,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-71.02413959314424,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-104.8149864077045,"{0: 16, 1: 0, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-204.8627084402373,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-157.98557974285842,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-97.0448657175146,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-122.50413209758648,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,3,-0.5184736825610774,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-193.16655422311146,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-165.85465274401432,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-153.01890754880796,"{0: 15, 1: 3, 2: 10, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-159.24757792715687,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-189.9668727995107,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-46.01008128097933,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,7,-135.94010705080154,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",30,0,-214.13081733699514,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-137.18024787906273,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-18.68660066975451,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,0,-118.41688539807541,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-135.21744834453463,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-161.8202797431968,"{0: 10, 1: 5, 2: 1, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,-123.31191436088919,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-113.27690587896433,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
